Category Code,Category Label
11,Non-alcoholic beverages
111,Tea
11101,"Tea, regular, caffeinated, prepared with water"
11101001,"Tea, regular, black, brewed from leaf or teabags, plain, without milk"
11101002,"Tea, regular, black, brewed from leaf or teabags, flavoured, without milk"
11101003,"Tea, green, plain, without milk"
11101004,"Tea, green, flavoured, without milk"
11101005,"Tea, jasmine, plain, without milk"
11101006,"Tea, chai, plain, without milk"
11101007,"Tea, chai, flavoured, without milk"
11101008,"Chai latte, prepared from chai mix powder & water, no added milk"
11102,"Tea, regular, caffeinated, prepared with milk or milk substitute"
11102001,"Tea, regular, white, brewed from leaf or teabags, with cows milk not further defined"
11102002,"Chai latte, prepared from chai mix powder & regular fat cows milk"
11102003,"Chai latte, prepared from chai mix powder & reduced fat cows milk"
11102004,"Chai latte, prepared from chai mix powder & skim cows milk"
11102005,"Chai latte, prepared from chai mix powder & soy milk"
11103,"Tea, regular, decaffeinated, prepared with water or milk"
11103001,"Tea, decaffeinated, black, brewed from leaf or teabags, plain, without milk"
11104,Tea mixed with other foods
11104001,"Iced tea, homemade, unsweetened"
11104002,"Milkshake, bubble tea, non-chocolate or coffee flavour, cows milk, tapioca pearls"
11105,Herbal tea
11105001,"Tea, herbal, chamomile, without milk"
11105002,"Tea, herbal, lemon, without milk"
11105003,"Tea, herbal, mint, without milk"
11105004,"Tea, herbal, other, without milk"
11106,Tea powders and bases
11106002,"Chai latte, dry powder mix containing milk solids & sugar"
112,Coffee and coffee substitutes
11201,"Coffee beverage, prepared with water"
11201001,"Coffee, espresso style, without milk"
11201002,"Coffee, black, from instant coffee powder, without milk"
11201003,"Coffee, long black style, from ground coffee beans, without milk"
11201004,"Coffee, long black style, from ground coffee beans, double shot, without milk"
11201005,"Coffee, long black style, from ground coffee beans, half shot, without milk"
11201006,"Coffee, from instant or ground beans, Turkish, no milk, added sugar"
11202,"Coffee beverage, prepared with milk or milk substitute"
11202001,"Coffee, white, from instant coffee powder, made up with regular fat cows milk"
11202002,"Coffee, white, from instant coffee powder, made up with cows milk not further defined"
11202003,"Coffee, cappuccino, from ground coffee beans, with regular fat cows milk"
11202004,"Coffee, cappuccino, from ground coffee beans, double shot, with regular fat cows milk"
11202005,"Coffee, cappuccino, from ground coffee beans, with reduced fat cows milk"
11202006,"Coffee, cappuccino, from ground coffee beans, double shot, with reduced fat cows milk"
11202007,"Coffee, cappuccino, from ground coffee beans, with skim cows milk"
11202008,"Coffee, cappuccino, from ground coffee beans, double shot, with skim cows milk"
11202009,"Coffee, cappuccino, from ground coffee beans, with cows milk not further defined"
11202010,"Coffee, cappuccino, from ground coffee beans, with regular fat soy milk"
